machine,limits,benchmark,base_result,lower_is_better,result,normalized
t2.micro,with,ramsmp_integer_reading_16kb_block,2028.21,False,10812.25,5.330932201300654
t2.micro,with,ramsmp_integer_reading_32kb_block,1825.49,False,10531.53,5.769152391960515
t2.micro,with,ramsmp_integer_reading_64kb_block,1357.47,False,7834.63,5.771494029333981
t2.micro,with,ramsmp_integer_reading_128kb_block,1354.29,False,7194.86,5.312643525389688
t2.micro,with,ramsmp_integer_reading_256kb_block,1153.53,False,6648.89,5.7639506558130265
t2.micro,with,ramsmp_integer_reading_512kb_block,886.98,False,6522.47,7.353570542740536
t2.micro,with,ramsmp_integer_reading_1024kb_block,714.8,False,6141.68,8.592165640738669
t2.micro,with,ramsmp_integer_reading_2048kb_block,676.96,False,6127.88,9.052056251477191
t2.micro,with,ramsmp_integer_reading_4096kb_block,677.84,False,6188.28,9.129411070459104
t2.micro,with,ramsmp_integer_reading_8192kb_block,678.26,False,5714.21,8.424807595907174
t2.micro,with,ramsmp_integer_reading_16384kb_block,678.26,False,5307.46,7.825111314245275
t2.micro,with,ramsmp_integer_reading_32768kb_block,678.53,False,1795.23,2.6457636360956776
t2.micro,with,ramsmp_integer_copy,1304.27,False,2093.21,1.604890091775476
t2.micro,with,ramsmp_integer_scale,889.15,False,2098.31,2.359905527751223
t2.micro,with,ramsmp_integer_add,1074.81,False,2093.9,1.9481582791377083
t2.micro,with,ramsmp_integer_triad,889.58,False,2131.05,2.3955686953393736
t2.micro,with,ramsmp_fl-point_writing_1kb_block,6746.64,False,5880.5,-1.1472901964118698
t2.micro,with,ramsmp_fl-point_writing_2kb_block,6250.06,False,5398.35,-1.1577722822714347
t2.micro,with,ramsmp_fl-point_writing_4kb_block,6329.5,False,5663.33,-1.1176286742958648
t2.micro,with,ramsmp_fl-point_writing_8kb_block,6359.04,False,5665.12,-1.1224899031265003
t2.micro,with,ramsmp_fl-point_writing_16kb_block,6395.65,False,5393.17,-1.1858795476500832
t2.micro,with,ramsmp_fl-point_writing_32kb_block,6398.39,False,5372.0,-1.1910629188384214
t2.micro,with,ramsmp_fl-point_writing_64kb_block,6405.93,False,4791.53,-1.3369278706383976
t2.micro,with,ramsmp_fl-point_writing_128kb_block,6344.77,False,5010.42,-1.2663149995409566
t2.micro,with,ramsmp_fl-point_writing_256kb_block,6287.62,False,4540.8,-1.3846943269908385
t2.micro,with,ramsmp_fl-point_writing_512kb_block,6252.38,False,4284.56,-1.4592816998711653
t2.micro,with,ramsmp_fl-point_writing_1024kb_block,5275.28,False,4291.83,-1.2291446772122847
t2.micro,with,ramsmp_fl-point_writing_2048kb_block,5069.86,False,4287.61,-1.1824442988051618
t2.micro,with,ramsmp_fl-point_writing_4096kb_block,5071.63,False,4124.01,-1.2297812080960036
t2.micro,with,ramsmp_fl-point_writing_8192kb_block,5066.69,False,4092.72,-1.2379762114193005
t2.micro,with,ramsmp_fl-point_writing_16384kb_block,5062.19,False,3880.37,-1.3045637400557162
t2.micro,with,ramsmp_fl-point_writing_32768kb_block,5051.49,False,1684.51,-2.9987889653371007
t2.micro,with,ramsmp_fl-point_reading_1kb_block,2022.72,False,11822.14,5.844674497706059
t2.micro,with,ramsmp_fl-point_reading_2kb_block,2030.82,False,10746.66,5.291783614500547
t2.micro,with,ramsmp_fl-point_reading_4kb_block,2034.85,False,10760.26,5.287986829496032
t2.micro,with,ramsmp_fl-point_reading_8kb_block,2032.79,False,10724.56,5.275783529041367
t2.micro,with,ramsmp_fl-point_reading_16kb_block,2035.83,False,10752.23,5.281496981575082
t2.micro,with,ramsmp_fl-point_reading_32kb_block,1839.15,False,10758.3,5.849604436832232
